original_url,new_path,bytes_before,bytes_after,used_in,source_method,note
"https://ik.imagekit.io/hvzm7siir/all-images/25ED7BDA-ADA8-4DC8-9F11-D47C9C4173E0.PNG","/img/chaqueta-hilvanada-antes-prueba.webp","2375135","126288","components/home/BeforeAfterSlider.tsx","substitute","SUBSTITUTE: original unrecoverable (ImageKit 403). Chosen from client photo folders; replace when original is available."
"https://ik.imagekit.io/hvzm7siir/all-images/anatomia-traje.png","/img/anatomia-traje-forro-interior.webp","3175817","96622","components/cursos/CursosList.tsx;components/home/SuitShowcaseSection.tsx;scripts/setup-db.ts;courses#finishes","local-repo","Source: public/photos in git history (removed from the tree in the cleanup commit)."
"https://ik.imagekit.io/hvzm7siir/all-images/atelier-2012-04-22-001-9645.jpg","/img/sastre-cortando-tela-mesa-exterior.webp","1450314","164718","components/home/DetailGallery.tsx","imagekit-download",""
"https://ik.imagekit.io/hvzm7siir/all-images/atelier-2012-08-06-006-0923.jpg","/img/traje-gris-claro-medida-calle.webp","2723963","188706","components/home/TrajeEmpiezaSection.tsx","downloads-exif-number",""
"https://ik.imagekit.io/hvzm7siir/all-images/atelier-2012-08-06-010-0971.jpg","/img/americana-verde-menta-calle.webp","3022096","264864","components/home/DetailGallery.tsx","downloads-exif-number",""
"https://ik.imagekit.io/hvzm7siir/all-images/atelier-2012-09-15-007-1325.jpg","/img/chaque-chaleco-corbata-detalle.webp","1822062","59932","components/servicios/ServiciosHero.tsx","downloads-exif-number",""
"https://ik.imagekit.io/hvzm7siir/all-images/atelier-2012-10-01-002-1477.jpg","/img/cliente-bolsa-sastreria-jorge-juan.webp","2369991","184916","components/home/DetailGallery.tsx","downloads-exif-number",""
"https://ik.imagekit.io/hvzm7siir/all-images/atelier-2012-10-22-001-1550.jpg","/img/prueba-traje-showroom.webp","2610402","163016","components/home/DetailGallery.tsx","downloads-exif-number",""
"https://ik.imagekit.io/hvzm7siir/all-images/atelier-2026-04-24-001-0657.jpg","/img/novios-ramo-boda.webp","2041309","84986","components/bodas/BodasCarrusel.tsx","substitute","SUBSTITUTE: original unrecoverable (ImageKit 403). Chosen from client photo folders; replace when original is available."
"https://ik.imagekit.io/hvzm7siir/all-images/atelier-2026-04-24-003-0684.jpg","/img/novios-baile-boda-jardin.webp","214627","173184","components/bodas/BodasCarrusel.tsx","substitute","SUBSTITUTE: original unrecoverable (ImageKit 403). Chosen from client photo folders; replace when original is available."
